report	publisher	blurb	period_covered	last_updated	key	tags	link	Algeria	Angola	Benin	Botswana	Burkina Faso	Burundi	Cameroon	Cape Verde	Central African Republic	Chad	Comoros	Congo	Cote d'Ivoire	Democratic Republic of Congo	Djibouti	Egypt	Equatorial Guinea	Eritrea	Eswatini	Ethiopia	Gabon	Gambia	Ghana	Guinea	Guinea-Bissau	Kenya	Lesotho	Liberia	Libya	Madagascar	Malawi	Mali	Mauritania	Mauritius	Morocco	Mozambique	Namibia	Niger	Nigeria	Rwanda	Saint Helena	Sao Tome and Principe	Senegal	Seychelles	Sierra Leone	Somalia	South Africa	South Sudan	Sudan	Tanzania	Togo	Tunisia	Uganda	Zambia	Zimbabwe
Nasa Goddard Institute for Space Studies – GISS Surface Temperature Analysis	NASA	NASA's earth science data system is free, open-source data. The United States government funds the programme. NASA collects data from satellite imagery, space missions, observatories and laboratories. Thousands of scientists and coders analyse the climate data, which covers ice cover, ocean and atmospheric change, and carbon emissions to global temperatures.	2023	2023-07-19	NASA-GISS	temperature	https://data.giss.nasa.gov/gistemp/station_data_v4_globe/	yes	no	yes	yes	yes	no	yes	yes	yes	yes	yes	yes	yes	yes	no	yes	no	no	no	yes	yes	yes	yes	yes	yes	yes	no	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	no	yes	no	no	yes	yes	yes	no	no	yes
National Oceanographic and Atmospheric Agency	National Oceanographic and Atmospheric Agency	Established in 1970, the US-based scientific and regulatory body National Oceanographic and Atmospheric Agency aims to convert 'scientific insights into dynamic, usable information that informs strategy and decision-making'. Data is collected through satellite imagery to forecast weather and measure atmospheric and ocean conditions. The US government funds the programme.	2023	2023-07-19	NOAA	temperature, rainfall	https://www.ncei.noaa.gov/cdo-web/search?datasetid=GHCND	no	yes	no	yes	no	no	no	no	no	no	no	no	no	no	no	no	no	no	yes	no	no	no	no	no	no	no	no			yes	yes					yes	yes			no	no	no	no	no	no	no	yes	no	no	no	no	no	no	yes	yes
International Energy Agency – Emissions	International Energy Agency	The International Energy Agency works with governments, agencies and forums to 'ensure secure, affordable and sustainable energy systems'. It forms a part of the Organisation for Economic Co-operation and Development which funds it. The IEA has 31 member countries, 13 association countries and four accession countries.	2023	2023-07-19	IEAE	emissions, manufacturing	https://www.iea.org/data-and-statistics/data-product/energy-and-emissions-per-value-added-database	yes	no	yes	no	no	no	yes	yes	no	no	no	yes	yes	yes	no	yes	yes	yes	yes	yes	yes	yes	yes	no	no	yes	yes	no	yes	yes	yes	no	yes	yes	yes	yes	yes	yes	yes	yes	no	no	yes	yes	no	no	yes	yes	no	yes	yes	yes	yes	yes	no
International Energy Agency – Methane Tracker	International Energy Agency	The International Energy Agency works with governments, agencies and forums to 'ensure secure, affordable and sustainable energy systems'. It forms a part of the Organisation for Economic Co-operation and Development which funds it. The IEA has 31 member countries, 13 association countries and four accession countries.	2023	2023-07-19	IEAM	emissions	https://www.iea.org/data-and-statistics/data-tools/methane-tracker-data-explorer	yes	yes	yes	yes	no	no	yes	no	yes	yes	yes	yes	yes	yes	no	yes	yes	yes	no	yes	yes	yes	yes	yes	yes	yes	no	yes	yes	no	no	no	no	no	yes	yes	yes	yes	yes	yes	no	no	yes	no	no	no	yes	no	yes	yes	yes	no	yes	no	no
Precipitation Processing System	NASA	US-based NASA's Precipitation Processing System (PPS) processes and archives satellite data from the joint NASA and the Japan Aerospace Exploration Agency project, the Global Precipitation Measurement. PPS began from the Tropical Rainfall Measuring Mission, which stopped collecting satellite data in 2015. PPS supplies algorithms and data for scientists. 	2023	2023-07-26	PPS	rainfall	https://arthurhou.pps.eosdis.nasa.gov	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes
Rain Watch – Africa	Rain Watch	Rain Watch is an African-based data collection project which aims to supply real-time rainfall monitoring for national governments, non-profits, national research institutions, farmers, scientists and policy-makers. It collates its data from meteorological offices across the continent. Non-profit practical action and education institutes like Binghamton University support Rain Watch.	2023	2023-07-19	RWA	rainfall	http://www.rainwatch-africa.org/	no	no	no	no	yes	no	no	no	no	yes	no	no	no	no	no	no	no	no	no	no	no	yes	yes	yes	no	no	no	no	no	no	yes	yes	yes	no	no	no	no	yes	yes	no	no	no	yes	no	yes	no	no	no	yes	no	no	no	yes	yes	yes
Tim Osborn: HadCRUT4 temperature	University of East Anglia	United Kingdom-based professor of climate science Tim Osborn runs the data collection on and compilation of surface temperatures for the University of East Anglia. He started in 1990 and continued after he completed his Doctor of Philosophy. The Intergovernmental Panel on Climate Change has used Osborn's climate modelling in their reporting.	2023	2023-07-19	HCT	temperature	https://crudata.uea.ac.uk/~timo/diag/tempthisyear.htm	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes
U.S. Energy Information Administration	Energy Information Administration	The US Energy Information Administration supplies free and accessible data on electricity, energy production, fossil fuels and carbon dioxide emissions. The US government established the EIA in the 1970s to address the energy crises. It aims to collect, analyze, and disseminate independent and impartial energy information to promote sound policymaking.	2021	2023-07-20	USEIA	oil	https://www.eia.gov/opendata/index.php#bulk-downloads	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	no	yes	no	yes	yes	yes	no	no	yes	yes	yes	yes	yes	no	no	no	no	yes	no	no	yes	yes	yes	no	no	yes	no	no	yes	yes	yes	yes	no	no	yes	yes	no	yes
KNMI Climate Explorer	Koninklijk Nederlands Meteorologisch Instituut	Dutch-based and government-funded Koninklijk Nederlands Meteorologisch Instituut supplies the KNMI Climate Explorer database, which supplies temperature, precipitation, cloud cover and pressure, wind speed and emissions from several datasets, including the University of East Anglia and NOAA.  The data is meant for scientists and does not break down information at a country-level.	2023	2023-07-26	KNMI	rainfall, temperature, emissions	https://climexp.knmi.nl/start.cgi	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no
Net Zero	Net Zero Tracker	The database tracks the number of countries, companies and cities that aim to cut their net emissions to zero and to hold entities accountable for their decisions. It tracks the countries that are party to the Paris Agreement. The European Climate Foundation and ClimateWorks Foundation fund the tracker.	2023	2023-07-26	NZ	emissions	https://zerotracker.net/	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	no	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes
University of East Anglia’s Climate Research Unit	University of East Anglia	The University of East Anglia's climate projections and observations supplied data on climate change and last updated it in 2018. It was a tool to analyse the effect of different emissions scenarios using national averages for temperature and precipitation. Tim Osborn, who managed the site, continues publishing the data HadCRUT4.	2018	2023-07-20	UEA	temperature, rainfall	https://crudata.uea.ac.uk/~timo/climgen/national/web/locations.htm	yes	yes	yes	yes	yes	no	yes	no	yes	yes	no	yes	yes	yes	no	yes	no	yes	yes	yes	yes	no	yes	yes	no	yes	yes	yes	yes	yes	yes	yes	yes	no	yes	yes	yes	yes	yes	no	no	no	yes	no	no	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes
WDC Climate	German Climate Computing Centre	The Hamburg-based German Climate Computing Centre manages the World Data Center for Climate, which aims to provide scientists access to climate modelling data and to preserve it. The World Data Center for Climate joined the World Data System in 2003. Scientists can access and submit datasets to the site.	2023	2023-07-20	WDC	emissions	https://www.wdc-climate.de/ui/	yes	yes	yes	yes	no	no	no	no	no	yes	no	no	no	no	no	no	no	no	no	yes	no	no	no	no	no	no	no	no	no	no	no	yes	yes	no	yes	no	yes	yes	yes	no	no	no	no	no	no	no	yes	no	no	no	no	no	no	no	no
Weighted Climate Data Repository 	Sant'Anna School of Advanced Studies	The Italian-based Institute of Economics and EMbeDS at Sant'Anna School of Advanced Studies publishes the Weighted Climate Data Repository with precipitation and temperature data from Climatic Research Unit (CRU TS), Delaware Climate Office, ECMWF's ERA5 and CSIC. The data starting from 1901 can be weighted by population density.	2022	2023-07-26	WCDR	rainfall, temperature	https://climaterepo.streamlit.app	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes
